species_richness,param_str,mean_kappa
131,Rough_0_7860030855966226,1.1896325167798842
207,Rough_0_0033333333333333322,1.4777067270878286
95,Rough_29_999999999999996,0.9275162751238458
196,Rough_0_020593361685580392,1.4580076956237276
104,Rough_4_855933748302037,0.9938913324958928
170,Rough_0_12722596365393918,1.3758265705060018
