species_richness,sigma_str,lambda_str,neigh_str
10,0_2,10_0,0
1,9_999999e6,10_0,none
2,0_2,10_0,none
29,0_1,10_0,1
22,9_999999e6,10_0,1
25,0_2,10_0,1
23,0_02,10_0,none
96,0_05,10_0,3
83,0_02,10_0,2
5,0_1,10_0,none
7,9_999999e6,10_0,0
25,0_05,10_0,0
16,0_1,10_0,0
10,0_05,10_0,none
48,0_02,10_0,0
39,0_05,10_0,1
83,9_999999e6,10_0,3
67,0_05,10_0,2
59,0_02,10_0,1
53,0_1,10_0,2
55,0_2,10_0,2
49,9_999999e6,10_0,2
85,0_2,10_0,3
94,0_1,10_0,3
114,0_02,10_0,3
