M,Kappa
1,0.9000293887147335
3,0.9066725599257857
5,0.8964143221424148
7,0.8866859052457594
9,0.8960820611387188
11,0.8833398925584366
13,0.8930843140240126
15,0.8894202383690629
17,0.8831023205569158
19,0.8835870569137807
21,0.8928940391292348
99,0.9911519053715508
