M,Kappa
1,0.8571708463949843
3,1.1503003111870267
5,1.568478080460892
7,2.014174402178015
9,2.500441951895916
11,2.799914340613406
13,3.21589270253731
15,3.4844205962573427
17,3.7528567468511858
19,4.320810858346289
21,4.491236787704498
99,43.30144534408904
