species_richness,sigma_str,lambda_str,neigh_str
1,9_999999e6,0_0,none
3,9_999999e6,0_0,0
7,0_2,0_0,none
12,0_1,0_0,none
13,0_2,0_0,0
15,9_999999e6,0_0,1
17,0_1,0_0,0
31,0_02,0_0,none
19,0_05,0_0,none
26,0_05,0_0,0
26,9_999999e6,0_0,2
42,9_999999e6,0_0,3
57,0_1,0_0,1
41,0_02,0_0,0
67,0_2,0_0,2
91,0_1,0_0,2
76,0_05,0_0,1
97,0_2,0_0,3
125,0_05,0_0,2
128,0_1,0_0,3
112,0_02,0_0,1
40,0_2,0_0,1
171,0_05,0_0,3
179,0_02,0_0,2
237,0_02,0_0,3
