species_richness,Z_str,lambda_str,neigh_str
1,0_0,0_0,none
1,0_0,0_0,0
2,15_0,0_0,none
9,15_0,0_0,0
30,50_0,0_0,0
8,50_0,0_0,none
4,25_0,0_0,none
15,150_0,0_0,none
45,150_0,0_0,0
5,0_0,0_0,1
46,15_0,0_0,1
131,150_0,0_0,1
80,25_0,0_0,1
101,50_0,0_0,1
27,0_0,0_0,3
216,25_0,0_0,3
289,150_0,0_0,3
261,50_0,0_0,3
154,15_0,0_0,3
182,50_0,0_0,2
21,25_0,0_0,0
15,0_0,0_0,2
93,15_0,0_0,2
148,25_0,0_0,2
208,150_0,0_0,2
