species_richness,param_str,mean_kappa
14,JC_0.1,2.770190051441477
27,JC_0.398,2.026662093520786
67,JC_1.585,1.6493232490114003
127,JC_6.31,1.0504285672218325
159,JC_100.0,0.8577981337255699
162,JC_25.119,0.8584211623933631
