species_richness,sigma_str,lambda_str,neigh_str
1,9_999999e6,10_0,none
2,0_2,10_0,none
4,9_999999e6,10_0,0
6,0_1,10_0,none
7,0_2,10_0,0
13,9_999999e6,10_0,1
8,0_1,10_0,0
11,0_05,10_0,0
11,0_05,10_0,none
20,0_1,10_0,1
16,0_2,10_0,1
20,0_05,10_0,1
22,9_999999e6,10_0,2
30,0_05,10_0,2
29,0_2,10_0,2
28,0_1,10_0,2
39,9_999999e6,10_0,3
31,0_02,10_0,0
37,0_02,10_0,none
47,0_05,10_0,3
33,0_02,10_0,1
45,0_1,10_0,3
45,0_2,10_0,3
39,0_02,10_0,2
56,0_02,10_0,3
